co_carta_consulta,no_projeto,sg_projeto,sg_fonte,va_dolar,no_unidade_federal,co_sujeito,no_tecnico,no_setor,informacoes,fase,dt_assinatura,dt_ultimo_desembolso_vigente,no_abrangencia_nacional,aggregation,tipo_operacao,co_executor,no_executor
"59993","Programa de Desenvolvimento das Políticas Públicas do Estado do Acre","Acre Eficiente e Sustentável","BIRD","2.5E8","Estado do Acre","852","Tânia Delfino Ribeiro","Encargos Especiais","(61) 2020-4819","Em execução","10/12/2013 00:00","31/07/2015 00:00","Estadual","2272","Financiamento","408","Governo do Estado do Acre"
"59993","Programa de Desenvolvimento das Políticas Públicas do Estado do Acre","Acre Eficiente e Sustentável","BIRD","2.5E8","Estado do Acre","852","Tânia Delfino Ribeiro","Encargos Especiais","(61) 2020-4819","Em execução","10/12/2013 00:00","31/07/2015 00:00","Estadual","2272","Financiamento","644","Secretaria de Estado de Planejamento do Acre"
"59347","Doação - Projeto Floresta das Crianças - AC","Doação Floresta das Crianças-AC","GEF","1000000.0","Estado do Acre","828","Isis Smidt Lara Resende","Gestão Ambiental","(61) 2020-4832","Arquivado","","","Municipal","2272","Doação","828","Universidade Federal do Acre - AC"
"58607","Implantação e Operacionalização do Parque Municipal Marinho Paripueira","PQ. MARINHO PARIPUEI","GEF","496000.0","Estado de Alagoas","841","Antônio Sabino da Costa Filho","Gestão Ambiental","","Arquivado","","","Federal","2272","Doação","0",""
"59263","Programa Nacional de Desenvolvimento do Turismo no Estado de Alagoas","PRODETUR NACIONAL - AL","BID","4.5E7","Estado de Alagoas","841","Rosangela Moreira Castelo Branco","Comércio e Serviços","(61) 2020-4809","Arquivado","","","Estadual","2272","Financiamento","666","Secretaria de Estado do Turismo de Alagoas"
"57984","Recuperacao Estuarino-Lagunar Projeto Sururu","PROJETO SURURU","BID","8.85E7","Estado de Alagoas","841","Antônio Sabino da Costa Filho","Gestão Ambiental","","Arquivado","","","Estadual","2272","Financiamento","0",""
"58126","Reestrut. da Sec. de Fazenda do Est. Alagoas","TRIBUTÁRIO - AL","BID","1.39E7","Estado de Alagoas","841","Antônio Sabino da Costa Filho","Administração","","Arquivado","","","Estadual","2272","Financiamento","402","Governo do Estado de Alagoas"
"58183","Projeto de Combate à Pobreza Rural de Alagoas - 1ª FASE","PCPR - AL II 1ª FASE","BIRD","1.2E7","Estado de Alagoas","841","Leny Maria Corazza","Agricultura","(61) 2020-4358","Arquivado","","","Estadual","2272","Financiamento","690","Secretaria de Planejamento do Estado de Alagoas"
"58760","Projeto de Combate à Pobreza Rural de Alagoas - 2ª FASE","PCPR - AL II 2ª FASE","BIRD","1.2E7","Estado de Alagoas","841","Leny Maria Corazza","Agricultura","(61) 2020-4358","Arquivado","","","Estadual","2272","Financiamento","690","Secretaria de Planejamento do Estado de Alagoas"
"59660","Projeto de Desenvolvimento Sustentável","DPL - AL","BIRD","1.9545E8","Estado de Alagoas","841","Rosangela Moreira Castelo Branco","Administração","(61) 2020-4809","Finalizada","22/12/2009 00:00","31/12/2011 00:00","Estadual","2272","Financiamento","621","Secretaria de Estado da Fazenda de Alagoas "
"59856","Projeto de Redução da Pobreza e Inclusão Produtiva do Estado de Alagoas","DPL - AL","BIRD","1.41737E8","Estado de Alagoas","841","Leny Maria Corazza","Encargos Especiais","(61) 2020-4358","Aguardando negociação","","31/12/2099 00:00","Estadual","2272","Financiamento","690","Secretaria de Planejamento do Estado de Alagoas"
"59788","Redesenho do processo de aquisições de bens e serviços do Estado de Alagoas","DOAÇÃO - ALAGOAS/BIRD","BIRD","500000.0","Estado de Alagoas","841","Vitor de Lima Magalhães","Administração","(61) 2020-4387","Finalizada","21/10/2011 00:00","28/03/2014 00:00","Estadual","2272","Doação","286","Agência da Modernização da Gestão dos Processos do Estado de Alagoas - AMGESP"
"57757","Rodovias Alagoas","RODOVIAS AL","BIRD","3.8E7","Estado de Alagoas","841","Antônio Sabino da Costa Filho","Transporte","","Finalizada","21/01/1994 00:00","31/12/1999 00:00","Estadual","2272","Financiamento","80","Prefeitura Municipal de Palhoça - SC"
"58313","Programa Integrado de Aproveitamento dos Rec Hídricos para o Sertão Alagoano","RECURSOS HÍDRICOS","ITALIA","3.08E7","Estado de Alagoas","841","Antônio Sabino da Costa Filho","Saneamento","","Arquivado","","","Estadual","2272","Financiamento","0",""
"121","Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento Econômico e Social do Estado de Alagoas ","PROCONFIS/AL","BID","2.5E8","Estado de Alagoas","841","Tânia Delfino Ribeiro","Encargos Especiais","(61) 2020-4819","Em execução","23/12/2013 00:00","23/12/2015 00:00","Estadual","2272","Financiamento","621","Secretaria de Estado da Fazenda de Alagoas "
"59600","Projeto de Aperfeiçoamento da Gestão Fazendária de Alagoas","PROFISCO - AL","BID","7000000.0","Estado de Alagoas","841","Isis Smidt Lara Resende","Administração","(61) 2020-4832","Em execução","23/12/2013 00:00","23/12/2018 00:00","Estadual","2272","Financiamento","621","Secretaria de Estado da Fazenda de Alagoas "
"59427","Programa de Desenvolvimento Urbano Integrado de Maceió - AL","PROGRAMA INTEGRADO DE MACEIÓ","BID","3.1122E7","Estado de Alagoas","961","Manuella Damasceno Louzada","Urbanismo","","Arquivado","","","Municipal","2272","Financiamento","130","Prefeitura Municipal de Maceió - AL"
"59981","PROEMEM - PROJETO DE EXPANSÃO E MELHORIA EDUCACIONAL DA REDE PÚBLICA MUNICIPAL DE MANAUS","PROEMEM","BID","1.04E8","Estado do Amazonas","962","Neuseli Ayres do Couto Castanheira","Educação","(61) 2020-4818","Aguardando Assinatura","","","Municipal","2272","Financiamento","1427","Secretaria Municipal de Educação de Manaus - SEMED"
"60072","Programa de Consolidação do Equilíbrio Fiscal para a Melhoria da Prestação de Serviços Públicos do Município de Manaus (PROCONFIS MANAUS)","PROCONFIS/MN","BIRD","2.0E8","Estado do Amazonas","962","Vitor de Lima Magalhães","Encargos Especiais","(61) 2020-4387","Em preparação","","","Municipal","2272","Financiamento","1476","Secretaria Municipal de Finanças, Tecnologia da Informação e Controle Interno - SEMEF"
"60048","Programa de Integração, Mobilidade e Desenvolvimento da Cidade de Manaus - PIMD/MANAUS","PIMD/MANAUS","CAF","1.0E8","Estado do Amazonas","962","Sandra Maria de Carvalho Amaral","Urbanismo","(61) 2020-4813","Em preparação","","","Municipal","2272","Financiamento","1382","Secretaria Municipal de Infraestrutura - SEMINF/MANAUS"
"58614","Desenvolvimento da Agricultura Sustentável Dirigida aos Pequenos e Médios Produtores Rurais da Região Amazônica","DOAÇÃO FUMIN - ADHIMA","BID/FUMIN","1000000.0","Estado do Amazonas","854","Cadmo Soares Gomes","Administração","","Arquivado","","","Federal","2272","Doação","0",""
"59181","Programa de Sustentabilidade Ambiental para a Amazônia - Amazônia Verde","AMAZÔNIA VERDE","JBIC","7.29E7","Estado do Amazonas","299","Patricia Matos Magalhaes Albuquerque","Encargos Especiais","(61) 2020-4830","Arquivado","","","Estadual","2272","Financiamento","299","Banco da Amazônia S/A - BASA"
"58310","Comunidades Produtivas","COMUNIDADE PRODUTIVA","JBIC","4.5E7","Estado do Amazonas","854","Antônio Sabino da Costa Filho","Agricultura","","Arquivado","","","Estadual","2272","Financiamento","242","Governo do Estado do Amazonas"
"58311","Macrodrenagem e Urbanização do Igarapé do Mindú","IGARAPÉ DO MINDU","JBIC","1.35E8","Estado do Amazonas","854","Antônio Sabino da Costa Filho","Gestão Ambiental","","Arquivado","","","Estadual","2272","Financiamento","242","Governo do Estado do Amazonas"
"57927","Amazonas Urgente","AMAZONAS URGENTE","BID","3.5E8","Estado do Amazonas","854","Antônio Sabino da Costa Filho","Saneamento","","Arquivado","","","Estadual","2272","Financiamento","0",""
"59886","Apoio à Preparação do Programa de Saneamento Integrado de Maués - PROSAIMAUÉS","DOAÇÃO - PROSAIMAUÉS","BID","600000.0","Estado do Amazonas","854","Wanda Dias Fonseca Taquary","Saneamento","(61) 2020-4847","Em execução","16/04/2012 00:00","11/12/2014 00:00","Estadual","2272","Doação","242","Governo do Estado do Amazonas"
"59861","Programa de Aceleração do Desenvolvimento da Educação do Amazonas","PADEAM - AM","BID","3.287E8","Estado do Amazonas","854","Antônio Sabino da Costa Filho","Educação","","Arquivado","","","Estadual","2272","Financiamento","0",""
"59768","Programa de Saneamento Integrado de Maués","PROSAIMAUÉS - AM","BID","2.45E7","Estado do Amazonas","854","Wanda Dias Fonseca Taquary","Saneamento","(61) 2020-4847","Em execução","23/12/2013 00:00","23/12/2018 00:00","Estadual","2272","Financiamento","242","Governo do Estado do Amazonas"
"58344","Programa de Urbanização, Saneamento Básico e Ambiental de Igarapés","IGARAPÉS","BID","5.0E7","Estado do Amazonas","854","Wanda Dias Fonseca Taquary","Urbanismo","(61) 2020-4847","Arquivado","","","Estadual","2272","Financiamento","242","Governo do Estado do Amazonas"
"59464","Programa Social e Ambiental dos Igarapés de Manaus -  Fase II","PROSAMIM - 2ª Fase","BID","1.54E8","Estado do Amazonas","854","Wanda Dias Fonseca Taquary","Saneamento","(61) 2020-4847","Finalizada","10/11/2008 00:00","10/07/2014 00:00","Estadual","2272","Financiamento","242","Governo do Estado do Amazonas"
"59622","Programa Social e Ambiental dos Igarapés de Manaus -  Financiamento Suplementar","PROSAMIM  - ADICIONAL","BID","7.7E7","Estado do Amazonas","854","Wanda Dias Fonseca Taquary","Saneamento","(61) 2020-4847","Finalizada","01/09/2009 00:00","01/09/2013 00:00","Estadual","2272","Financiamento","821","Unidade de Gerenciamento do Programa Social e Ambiental dos Igarapés de Manaus - UGPI"
"58962","Programa Social e Ambiental dos Igarapés de Manaus - PROSAMIM- Fase I","IGARAPÉS MANAUS/PROSAMIM","BID","1.4E8","Estado do Amazonas","854","Wanda Dias Fonseca Taquary","Urbanismo","(61) 2020-4847","Finalizada","19/01/2006 00:00","19/01/2012 00:00","Estadual","2272","Financiamento","242","Governo do Estado do Amazonas"
"59770","Programa Social e Ambiental dos Igarapés de Manaus - PROSAMIM III","PROSAMIM III","BID","2.8E8","Estado do Amazonas","854","Wanda Dias Fonseca Taquary","Saneamento","(61) 2020-4847","Em execução","16/03/2012 00:00","16/03/2017 00:00","Estadual","2272","Financiamento","821","Unidade de Gerenciamento do Programa Social e Ambiental dos Igarapés de Manaus - UGPI"
"59465","Programa Social e Ambiental dos Igarapés de Manaus - PROSAMIM III - 2ª Fase","PROSAMIM III   - 2ª Fase","BID","1.4E8","Estado do Amazonas","854","Wanda Dias Fonseca Taquary","Urbanismo","(61) 2020-4847","Arquivado","","","Estadual","2272","Financiamento","821","Unidade de Gerenciamento do Programa Social e Ambiental dos Igarapés de Manaus - UGPI"
"57774","Saneamento Ambiental - Igarapés de Manaus","IGARAPÉS MANAUS","BID","7.0E7","Estado do Amazonas","854","Antônio Sabino da Costa Filho","Saneamento","","Arquivado","","","Estadual","2272","Financiamento","0",""
"59400","Projeto de Desenvolvimento Regional do Estado do Amazonas para a Zona Franca Verde  PRODERAM  2ª Fase","PRODERAM - Segunda Fase","BIRD","5.175E7","Estado do Amazonas","854","Camila Medina Chagas","Saneamento"," ","Em preparação","","","Estadual","2272","Financiamento","645","Secretaria de Estado de Planejamento e Desenvolvimento Econômico do Amazonas"
"59267","Projeto de Desenvolvimento Sustentável do Sul do Amazonas","PLANDSUL","BIRD","2.0E8","Estado do Amazonas","854","Neuseli Ayres do Couto Castanheira","Gestão Ambiental","(61) 2020-4818","Arquivado","","","Estadual","2272","Financiamento","645","Secretaria de Estado de Planejamento e Desenvolvimento Econômico do Amazonas"
"59182","Projeto de Desenvolvimento Sustentável e de Serviços Básicos do Alto Solimões (Apoio ao Programa Zona Franca Verde)","ZONA FRANCA VERDE-AM","BIRD","2.425E7","Estado do Amazonas","854","Camila Medina Chagas","Saúde"," ","Finalizada","12/08/2008 00:00","25/06/2014 00:00","Estadual","2272","Financiamento","242","Governo do Estado do Amazonas"
"59879","Programa de Melhorias e Expansão do Sistema Viário de Manaus - Amazonas","PROVIÁRIO MANAUS","CAF","1.275E8","Estado do Amazonas","854","Wanda Dias Fonseca Taquary","Transporte","(61) 2020-4847","Aguardando negociação","","","Estadual","2272","Financiamento","1336","Secretaria de Estado de Infraestrutura do Amazonas"
"59876","Programa Socioambiental dos Igarapés de Manaus - Igarapés do Bindá, SESC, SHARP e São Sebastião","PROSAMIM BINDÁ/SESC/SHARP/S.SEBASTI","CAF","5.25E7","Estado do Amazonas","854","Wanda Dias Fonseca Taquary","Urbanismo","(61) 2020-4847","Em execução","29/09/2014 00:00","29/09/2018 00:00","Estadual","2272","Financiamento","1336","Secretaria de Estado de Infraestrutura do Amazonas"
"59658","Doação - Acesso aos Serviços Públicos de Esgotamento Sanitário para as Famílias mais Pobres da Região Central da Cidade de Manaus","DOAÇÃO REGIÃO CENTRAL DE MANAUS","BID-FCAS","5000000.0","Estado do Amazonas","854","Wanda Dias Fonseca Taquary","Saneamento","(61) 2020-4847","Finalizada","30/11/2010 00:00","21/11/2013 00:00","Estadual","2272","Doação","821","Unidade de Gerenciamento do Programa Social e Ambiental dos Igarapés de Manaus - UGPI"
"59017","Igarape 40 Cleanup, Manaus (Nota Conceitual)","IGARAPE 40","GEF","9000000.0","Estado do Amazonas","854","Isis Smidt Lara Resende","Gestão Ambiental","(61) 2020-4832","Arquivado","","","Estadual","2272","Doação","0",""
"59025","Doação - Projeto de Desenvolvimento Integrado do Amazonas","DOAÇÃO AMAZONAS","WB-JG","959000.0","Estado do Amazonas","854","Manuella Damasceno Louzada","Gestão Ambiental","","Finalizada","28/04/2004 00:00","28/02/2007 00:00","Estadual","2272","Doação","242","Governo do Estado do Amazonas"
"59918","Construção da Arena da Amazônia - Cobertura, fachada e membrana"," Cobertura fachada e membrana","KfW","5.0E7","Estado do Amazonas","854","Sandra Maria de Carvalho Amaral","Desporto e Lazer","(61) 2020-4813","Arquivado","","","Estadual","2272","Financiamento","1336","Secretaria de Estado de Infraestrutura do Amazonas"
"59678","Projeto de Prevenção e Combate ao Desmatamento e Conservação da Floresta Tropical no Estado do Amazonas - PROFLORAM","DOAÇÃO PROFLORAM","KfW/DOAÇÃO","1.48575E7","Estado do Amazonas","854","Tânia Delfino Ribeiro","Gestão Ambiental","(61) 2020-4819","Em execução","23/11/2010 00:00","31/12/2015 00:00","Estadual","2272","Doação","659","Secretaria de Estado do Meio Ambiente e Desenvolvimento Sustentável do Amazonas"
"13051","Programa de Aceleração do Desenvolvimento da Educação do Amazonas","PADEAM - AM","BID","1.51182E8","Estado do Amazonas","854","Neuseli Ayres do Couto Castanheira","Educação","(61) 2020-4818","Em execução","05/08/2014 00:00","05/08/2019 00:00","Estadual","2272","Financiamento","1276","Secretaria Estadual de Educação do Amazonas"
"59967","Programa de Consolidação do Equilíbrio Fiscal para a Melhoria da Prestação de Serviços Públicos do Estado do Amazonas","PROCONFIS/AM","BID","1.84E8","Estado do Amazonas","854","Tânia Delfino Ribeiro","Encargos Especiais","(61) 2020-4819","Em execução","23/12/2013 00:00","23/12/2015 00:00","Estadual","2272","Financiamento","1415","Secretaria de Fazenda do Estado do Amazonas"
"59990","Programa de Crédito Multi-setorial para o Desenvolvimento Sustentável do Estado do Amazonas - PRODESUS","PRODESUS","BID","2.0E8","Estado do Amazonas","854","Leny Maria Corazza","Crédito","(61) 2020-4358","Em preparação","","","Estadual","2272","Financiamento","645","Secretaria de Estado de Planejamento e Desenvolvimento Econômico do Amazonas"
"59990","Programa de Crédito Multi-setorial para o Desenvolvimento Sustentável do Estado do Amazonas - PRODESUS","PRODESUS","BID","2.0E8","Estado do Amazonas","854","Leny Maria Corazza","Crédito","(61) 2020-4358","Em preparação","","","Estadual","2272","Financiamento","1435","Agência de Fomento do Estado do Amazonas S.A. - AFEAM"
"59946","Programa de Modernização e Fortalecimento da Gestão Fiscal do Estado do Amazonas","PROFISCO - AMAZONAS","BID","3.69E7","Estado do Amazonas","854","Vitor de Lima Magalhães","Administração","(61) 2020-4387","Aguardando Assinatura","","01/01/2021 00:00","Estadual","2272","Financiamento","242","Governo do Estado do Amazonas"
"59967","Programa de Consolidação do Equilíbrio Fiscal para a Melhoria da Prestação de Serviços Públicos do Estado do Amazonas","PROCONFIS/AM","BIRD","2.16E8","Estado do Amazonas","854","Tânia Delfino Ribeiro","Encargos Especiais","(61) 2020-4819","Em execução","23/09/2014 00:00","31/01/2016 00:00","Estadual","2272","Financiamento","1415","Secretaria de Fazenda do Estado do Amazonas"
"59338","Programa de Desenvolvimento Urbano e Inclusão Sócio-Ambiental de Manaus - AM - 1ª Fase","Prourbis - Manaus - 1ª Fase","BID","5.0E7","Estado do Amazonas","962","Neuseli Ayres do Couto Castanheira","Urbanismo","(61) 2020-4818","Em execução","28/05/2010 00:00","28/11/2015 00:00","Municipal","2272","Financiamento","520","Prefeitura Municipal de Manaus - AM"
"59502","Programa de Infra-Estrutura Urbana e Ambiental de Manaus","PRÓ-MANAUS","CAF","7.5E7","Estado do Amazonas","962","Jandira Rocha Carvalho","Urbanismo","","Finalizada","07/10/2008 00:00","07/10/2011 00:00","Municipal","2272","Financiamento","520","Prefeitura Municipal de Manaus - AM"
"59685","Programa Nacional de Desenvolvimento do Turismo - PRODETUR NACIONAL MANAUS","PRODETUR NACIONAL - MANAUS","CAF","2.1512846E7","Estado do Amazonas","962","Rosangela Moreira Castelo Branco","Comércio e Serviços","(61) 2020-4809","Em execução","13/11/2012 00:00","13/12/2016 00:00","Municipal","2272","Financiamento","773","Secretaria Municipal de Obras, Serviços Básicos e Habitação de Manaus - AM"
"58147","Modernização de Fort. da Admin. Tributária - AP","TRIBUTÁRIO - AP","BID","4300000.0","Estado do Amapá","853","Wanda Dias Fonseca Taquary","Administração","(61) 2020-4847","Arquivado","","","Estadual","2272","Financiamento","409","Governo do Estado do Amapá"
"58887","Programa de Desenvolvimento Sustentável do Estado do Amapá - 2ª Fase","PDSA/AMAPÁ - 2ª FASE","BID","2.1E7","Estado do Amapá","853","Humberto Leite Freitas Filho","Saneamento","(61) 2020-4837","Arquivado","","","Estadual","2272","Financiamento","409","Governo do Estado do Amapá"
"58876","Programa de Melhoria da Qualidade Ambiental Urbana do Amapá","Qualidade Ambiental Amapá - 1ª FASE","BID","2.1E7","Estado do Amapá","853","Humberto Leite Freitas Filho","Saneamento","(61) 2020-4837","Arquivado","","","Estadual","2272","Financiamento","409","Governo do Estado do Amapá"
"59573","Programa Nacional de Desenvolvimento do Turismo no Estado do Amapá - 1ª Fase","PRODETUR NACIONAL  -AP - 1ª Fase","BID","5.4E7","Estado do Amapá","853","Rosangela Moreira Castelo Branco","Comércio e Serviços","(61) 2020-4809","Arquivado","","","Estadual","2272","Financiamento","668","Secretaria de Estado do Turismo do Amapá "
"57981","Proj. Infraestrutura a Atividades Podut. Sustentaveis Amapa","PROJETO AMAPÁ","BID","1.0E8","Estado do Amapá","853","Antônio Sabino da Costa Filho","Gestão Ambiental","","Arquivado","","","Estadual","2272","Financiamento","0",""
"58350","Saneamento Ambiental Urbano - AMAPÁ","SANEAMENTO - AP","BID","0.0","Estado do Amapá","853","Antônio Sabino da Costa Filho","Saneamento","","Arquivado","","","Estadual","2272","Financiamento","0",""
"60012","Ligando mitigação das mudanças climáticas ao manejo florestal comunitário no Amapá ","Comunidades, Floresta e Clima no Amapá","BID/ASSIST.TÉC","299925.0","Estado do Amapá","853","Isis Smidt Lara Resende","Gestão Ambiental","(61) 2020-4832","Em preparação","","","Estadual","2272","Doação","1449","Instituto Estadual de Florestas do Amapá"
"58819","Projeto de Desenvolvimento das Comunidades Rurais do Estado do Amapá","COMUNIDADES RURAIS-AMAPÁ","BIRD","4572000.0","Estado do Amapá","853","Manuella Damasceno Louzada","Gestão Ambiental","","Finalizada","02/06/2006 00:00","31/12/2010 00:00","Estadual","2272","Financiamento","409","Governo do Estado do Amapá"
"59541","Programa de Infra-Estrutura Rodoviária do Estado do Amapá"," Rodoviário  Amapá","CAF","1.38142E8","Estado do Amapá","853","Wanda Dias Fonseca Taquary","Transporte","(61) 2020-4847","Arquivado","","","Estadual","2272","Financiamento","747","Secretaria Executiva de Transportes do Estado do Amapá"
"59290","Fonte de Energia Renovável","ENERGIA RENOVAVEL","GEF","350000.0","Estado do Amapá","853","Isis Smidt Lara Resende","Gestão Ambiental","(61) 2020-4832","Arquivado","","","Estadual","2272","Doação","409","Governo do Estado do Amapá"
"59192","Projeto Corredor de Biodiversidade do Amapá - PDF-B","Biodiversidade Amapá","GEF","200000.0","Estado do Amapá","853","Isis Smidt Lara Resende","Gestão Ambiental","(61) 2020-4832","Arquivado","","","Estadual","2272","Doação","409","Governo do Estado do Amapá"
"59552","Programa de Modernização da Administração Fiscal do Amapá","PROFISCO - AMAPÁ","BID","7000000.0","Estado do Amapá","853","Isis Smidt Lara Resende","Encargos Especiais","(61) 2020-4832","Aguardando Assinatura","","","Estadual","2272","Financiamento","587","Secretaria da Receita Estadual do Amapá"
"60041","Programa Nacional de Desenvolvimento do Turismo em Salvador ","PRODETUR SALVADOR","BID","5.2512341E7","Estado da Bahia","1000","Rosangela Moreira Castelo Branco","Turismo","(61) 2020-4809","Em preparação","","","Municipal","2272","Financiamento","1457","Secretaria de Desenvolvimento, Turismo e Cultura do Município de Salvador - SEDES"
"57841","Energia Elétrica na Bahia II","ELETRICIDADE - BA","BID","1.15E8","Estado da Bahia","839","Wanda Dias Fonseca Taquary","Energia","(61) 2020-4847","Finalizada","23/03/1986 00:00","23/09/1993 00:00","Federal","2272","Financiamento","190","Governo do Estado da Bahia"
"57841","Energia Elétrica na Bahia II","ELETRICIDADE - BA","BID","2.5E7","Estado da Bahia","839","Wanda Dias Fonseca Taquary","Energia","(61) 2020-4847","Finalizada","23/03/1986 00:00","23/09/1993 00:00","Federal","2272","Financiamento","190","Governo do Estado da Bahia"
"58792","Conservação e Gestão Sustentável do Bioma Caatinga","CAATINGA BA e CE (Mata Branca)","GEF","1.0E7","Estado da Bahia","839","Tânia Delfino Ribeiro","Gestão Ambiental","(61) 2020-4819","Finalizada","27/06/2007 00:00","31/10/2013 00:00","Federal","2272","Doação","416","Governos do Estado do Ceará e Estado da Bahia"
"59418","Projeto Greening the Cocoa Industry - Global","Projeto Cocoa Industry","GEF","751000.0","Estado da Bahia","869","Isis Smidt Lara Resende","Gestão Ambiental","(61) 2020-4832","Arquivado","","","Federal","2272","Doação","426","Instituto de Manejo e Certificação Florestal e Agrícula - IMAFLORA"
"58417","Abastecimento de Energia Eletrica na Reg. S. Francisco no Oeste da Bahia","EN.ELÉ.SÃO FRANCISCO","KfW","1.3E7","Estado da Bahia","839","Antônio Sabino da Costa Filho","Energia","","Finalizada","15/07/1987 00:00","31/12/1999 00:00","Federal","2272","Financiamento","190","Governo do Estado da Bahia"
"57938","Baía Todos Os Santos","BAÍA TODOS OS SANTOS","JICA","7.82E7","Estado da Bahia","839","Rosangela Moreira Castelo Branco","Saneamento","(61) 2020-4809","Finalizada","29/05/1997 00:00","24/09/2003 00:00","Estadual","2272","Financiamento","328","Companhia de Desenvolvimento Urbano do Estado da Bahia - CONDER"
"57938","Baía Todos Os Santos","BAÍA TODOS OS SANTOS","BID","2.64E8","Estado da Bahia","839","Rosangela Moreira Castelo Branco","Saneamento","(61) 2020-4809","Finalizada","01/03/1996 00:00","01/06/2004 00:00","Estadual","2272","Financiamento","328","Companhia de Desenvolvimento Urbano do Estado da Bahia - CONDER"
"58131","Moderniz. d Racionalizacao da Admin. Tributaria Estadual-Ba","TRIBUTÁRIO - BA","BID","1.5E7","Estado da Bahia","839","Antônio Sabino da Costa Filho","Administração","","Arquivado","","","Estadual","2272","Financiamento","190","Governo do Estado da Bahia"
"59537","Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento do Estado da Bahia","PROCONFIS   - Bahia","BID","4.09E8","Estado da Bahia","839","Jandira Rocha Carvalho","Administração","","Finalizada","22/06/2009 00:00","22/06/2011 00:00","Estadual","2272","Financiamento","577","Secretaria da Fazenda do Estado da Bahia"
"59838","Programa de Consolidação do Equilíbrio Fiscal para o Desenvolvimento do Estado da Bahia - PROCONFIS II","PROCONFIS II","BID","6.0E8","Estado da Bahia","839","Isis Smidt Lara Resende","Administração","(61) 2020-4832","Em execução","21/12/2012 00:00","28/12/2014 00:00","Estadual","2272","Financiamento","577","Secretaria da Fazenda do Estado da Bahia"
